ID,Session,Run,Trial,Block,TrialStart,RT_press,RT_start_right,RT_start_left,RT_end_right,RT_end_left,right_positions,left_positions
7,1,1,1,1,0.08268049999605864,0.24785879999399185,0,0,0,0,[],[]
7,1,1,2,1,6.237589900032617,0.23334360006265342,,0.47144859994295985,,0.6057815999956802,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.026871137560082414], [0, -0.037247272449835944], [-0.020767528801403867, -0.07411306935225448], [-0.013199053940642358, -0.1434500648508431], [-0.013199053940642358, -0.3238727397573815], [-0.013199053940642358, -0.49404135194934007], [-0.019058518348973874, -0.6802929732204166], [-0.05372701609826813, -0.8746318760967422], [-0.0925459678034638, -1.0]]"
7,1,1,3,1,13.143301600008272,0.26643699989654124,,0.4386058000382036,,0.5889322999864817,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.04103150988021664], [-0.006485084306095956, -0.07447928587777519], [0.008072022583352378, -0.15590142671854734], [0.014297703517204496, -0.2603952086671244], [0.021622034027618753, -0.37929350728618294], [0.021988250553139466, -0.5615167467765316], [0.017715724422064483, -0.6816357671473259], [-0.0057526512550545306, -0.7967498283360037], [-0.02113374532692458, -0.8975814450293736], [-0.03126573586633097, -0.9836423285267414]]"
7,1,1,4,1,19.648205499979667,0.40001280000433326,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.04103150988021664], [-0.006485084306095956, -0.07447928587777519], [0.008072022583352378, -0.15590142671854734], [0.014297703517204496, -0.2603952086671244], [0.021622034027618753, -0.37929350728618294], [0.021988250553139466, -0.5615167467765316], [0.017715724422064483, -0.6816357671473259], [-0.0057526512550545306, -0.7967498283360037], [-0.02113374532692458, -0.8975814450293736], [-0.03126573586633097, -0.9836423285267414]]"
7,1,1,5,1,26.170837400015444,0.4501042999327183,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.04103150988021664], [-0.006485084306095956, -0.07447928587777519], [0.008072022583352378, -0.15590142671854734], [0.014297703517204496, -0.2603952086671244], [0.021622034027618753, -0.37929350728618294], [0.021988250553139466, -0.5615167467765316], [0.017715724422064483, -0.6816357671473259], [-0.0057526512550545306, -0.7967498283360037], [-0.02113374532692458, -0.8975814450293736], [-0.03126573586633097, -0.9836423285267414]]"
7,1,1,6,1,33.17591699992772,0.24884759995620698,,0.47268370003439486,,0.6899972000392154,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-1.5259021896696368e-05, -0.045181963836118055], [-0.009781033035782372, -0.08131532768749528], [-0.008072022583352378, -0.13832303349355302], [-0.008072022583352378, -0.21901274128328374], [-0.008072022583352378, -0.3185015640497444], [-0.008072022583352378, -0.41969939726863503], [-0.008072022583352378, -0.5100022888532845], [-0.012588693064774503, -0.5873960479133288], [-0.021377889677271722, -0.6667429617761502], [-0.021377889677271722, -0.7276569771877623], [-0.021377889677271722, -0.7562218661783779], [-0.021377889677271722, -0.8415503166247044], [-0.021377889677271722, -0.8856183718623636], [-0.015030136568245922, -0.9178454261081864]]"
7,1,1,7,1,40.015152400010265,0.3012413000687957,0.46078840002883226,,0.6453254000516608,,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.020401312275883154], [0, -0.04786755168993673], [-0.00563057907988096, -0.09279011215381094], [-0.00563057907988096, -0.15114061188677808], [-0.00563057907988096, -0.22121004043640802], [-0.00563057907988096, -0.30348668650339516], [0.0014801251239795477, -0.44106202792401006], [0.004776073853665963, -0.4944075684748608], [0.01600671396963449, -0.6632028686961166], [0.022842755779354462, -0.7819790951400015], [0.03041123064011586, -0.8996566720073244], [0.04200808728160532, -1.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
7,1,1,8,1,46.270549900014885,0.38386940001510084,0.40553989994805306,,0.5725679999450222,,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.017471580071717452], [-0.021499961852445293, -0.09779507133592735], [-0.021499961852445293, -0.1598077363241016], [-0.021499961852445293, -0.24037537193865877], [-0.020523384451056725, -0.335713740749218], [-0.011978332188906649, -0.4354467078660258], [-0.0020904859998474024, -0.5419851987487603], [0.002944991226062399, -0.6450141145952544], [0.006729228656443098, -0.7438925764858473], [0.010391393911650226, -0.8453345540550851], [0.010635538261997368, -0.9351796749828336]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
7,1,1,9,1,53.49262669996824,0.29857550002634525,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.017471580071717452], [-0.021499961852445293, -0.09779507133592735], [-0.021499961852445293, -0.1598077363241016], [-0.021499961852445293, -0.24037537193865877], [-0.020523384451056725, -0.335713740749218], [-0.011978332188906649, -0.4354467078660258], [-0.0020904859998474024, -0.5419851987487603], [0.002944991226062399, -0.6450141145952544], [0.006729228656443098, -0.7438925764858473], [0.010391393911650226, -0.8453345540550851], [0.010635538261997368, -0.9351796749828336]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
7,1,1,10,1,59.882193599944,0.45017249998636544,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.017471580071717452], [-0.021499961852445293, -0.09779507133592735], [-0.021499961852445293, -0.1598077363241016], [-0.021499961852445293, -0.24037537193865877], [-0.020523384451056725, -0.335713740749218], [-0.011978332188906649, -0.4354467078660258], [-0.0020904859998474024, -0.5419851987487603], [0.002944991226062399, -0.6450141145952544], [0.006729228656443098, -0.7438925764858473], [0.010391393911650226, -0.8453345540550851], [0.010635538261997368, -0.9351796749828336]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
