ID,Session,Run,NbBlocks,NbTrials,Set,Randomization,TimeStarted
91,1,1,1,27,1,1234,2025-07-03 16:56:40.447337
91,1,1,1,5,1,1234,2025-07-03 17:33:54.031814
91,1,1,1,5,1,1234,2025-07-03 17:36:09.447820
91,1,1,1,5,1,1234,2025-07-03 17:36:53.343171
91,1,1,1,5,1,1234,2025-07-03 17:39:50.944091
91,1,1,1,5,1,1234,2025-07-03 17:40:28.511949
91,1,1,20,1,1,1234,2025-07-03 17:42:41.631812
91,1,1,1,4,1,1234,2025-07-03 17:43:31.232489
91,1,1,1,4,1,1234,2025-07-03 17:45:15.395157
91,1,1,1,4,1,1234,2025-07-03 17:50:51.049249
91,1,1,1,4,1,1234,2025-07-03 18:25:31.983025
91,1,1,1,4,1,1234,2025-07-03 18:26:05.030160
